basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
BEWA0067,0.02256200256441976,0.13793394210991206,0.739071946901734,0.7165099443373142,0.6011380047918219,,,,0.44687806121952867,0.5896391791764487,0.6039538303144804,0.7139436176320011,1.5219266002304095,1.2586902541776794,1.2445474613435574,1.2432452156704359,3.527883532917868,2.7519824307000884,2.4929399990162766,1.9425206323579673,123.4375,136.0625,138.625,149.375
FR000169,-0.016254208460944275,0.019796633768151883,0.7157254561560336,0.7319796646169778,0.6959288223878817,,,,0.5816472690192767,0.5254414521472953,0.5599919875568681,0.5215504756162548,0.7066709652720817,0.6624821752039247,0.6763873222847566,0.6829830799004456,1.8911673540319904,2.704257448341732,2.367881631038003,2.635651267825587,132.52631578947367,132.05263157894737,133.94736842105263,132.10526315789474
DERP2029,0.12193736359625562,-0.0611756480357154,0.6027615732246829,0.4808242096284273,0.6639372212603983,0.16367658695495202,-0.13226540884131355,0.3284165023951421,0.5770721236525367,0.7949618715976268,0.8337294728043099,0.768743052443413,0.8128997419966302,0.8562224484268952,0.8626013665107191,0.8645054281934088,2.202408139605328,1.6356600133876187,1.5440426817152186,1.7950852971070221,132.07692307692307,158.03846153846155,161.5,152.07692307692307
FR000153,-0.006882006932892537,-0.11204832402835263,0.6048444064177994,0.6117264133506919,0.716892730446152,,,,0.6421192150887213,0.7759106460459151,0.7693443801857267,0.6842220250679747,1.0716031926027136,1.17905244019213,1.187641320836343,1.1817422585451045,2.2348418963151917,1.8041486935046847,1.6371307883748265,2.130920573593357,133.83333333333334,149.61111111111111,147.55555555555554,137.38888888888889
FR000142,0.060126767042281704,-0.013455822280516228,0.7952900825004189,0.7351633154581372,0.8087459047809351,0.8061284814316221,0.6121745516113075,0.7891328473219246,0.6181879444170277,0.6260318806774225,0.5341984907765395,0.6159712799892841,1.701081378030953,1.533952085834711,1.5339427394455767,1.5095140043146358,2.1363079945665095,2.416012648212192,2.6841537951417003,2.3706462740980627,134.65384615384616,134.1153846153846,129.57692307692307,134.73076923076923
DERP2023,0.02342637952330784,-0.039649402081141316,0.7933215672296798,0.769895187706372,0.8329709693108212,0.7814355932651629,0.7785050236319985,0.7783162190552221,0.5475464240473255,0.6136454398128889,0.6400022788990607,0.5673859493095901,1.2046407986235061,1.0299004634283986,1.040843003702075,1.025322469520848,2.2375005419180587,2.514377913156174,2.326216721215442,2.4451622508755304,128.80769230769232,137.3846153846154,138.92307692307693,137.3846153846154
FR000128,-0.0019595368573085414,-0.000441146899393674,0.8187398236266209,0.8206993604839294,0.8191809705260146,,,,0.5262351104042112,0.5503185656867472,0.5312101667279522,0.5613258218073187,3.177223275885115,2.49185786122655,2.494401167486424,2.4410492733080584,2.878325804251507,2.84501838755054,2.8013686748833884,2.709414239672776,127.44,128.12,128.04,129.6
FR003246,0.0193694754286593,0.01855188161293919,0.7847009502342992,0.7653314748056399,0.76614906862136,,,,0.4707725058083362,0.532604634740849,0.5747595279940936,0.5271649055600041,0.9209072206799293,0.8225397855213716,0.8365726142444053,0.8402603726168277,2.979323882652053,2.747767783054518,2.3591961923397813,2.6947265889008714,120.84,129.6,132.24,129.6
FR003241,-0.0006171393672739223,-0.014641330159751997,0.8458057177955222,0.8464228571627961,0.8604470479552742,,,,0.5720068735304338,0.6144576293901622,0.5788441219666018,0.6048364034304958,1.9660347551444997,1.8627436094648986,1.859555200008293,1.8340330450128175,2.6656768746543382,2.445336320400141,2.45625381538267,2.434791511672307,127.5,129.77272727272728,128.36363636363637,129.6818181818182
FR003265,-0.00029114326631918264,-0.0061339163119706885,0.8659110181329591,0.8662021613992783,0.8720449344449298,0.884808190537007,0.8647352477621801,0.8858640789417684,0.6045800876045967,0.64230138001421,0.6223990261095694,0.6304136814560869,1.3650431518522423,1.207994247473705,1.2178004558149418,1.2081995669564332,2.506784709873493,2.2880581643052924,2.2298407444695414,2.3321269811723635,132.30769230769232,135.84615384615384,134.69230769230768,135.15384615384616
