basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
FR003262,-0.01330779074065036,-0.018989244597492294,0.8435123352587297,0.8568201259993801,0.862501579856222,,,,0.6343893699502714,0.6750208869588269,0.6389193926477809,0.6628567331063212,1.2114182847345858,1.2364920768460368,1.2332213345437966,1.2343800551611508,2.3265395283367276,2.3723503245103474,2.382416847622036,2.4001358407666182,135.24,137.64,135.8,137.6
DEBU1957,-0.001883592466329631,0.002769641643039611,0.8884674100332072,0.8903510024995368,0.8856977683901676,0.8571657608358351,0.8627955839480144,0.8552311491211614,0.6064127198456731,0.6204790531459033,0.6281103444963415,0.6095977158729038,0.8558204789088875,0.865318217006005,0.8723811736376755,0.8665173826421534,2.049170615368509,2.3876468420509593,2.3338969512704986,2.502854308297373,134.1153846153846,135.57692307692307,136.96153846153845,135.8846153846154
DEBU1959,-0.004156249866704154,-0.008123484446946883,0.8562575413994202,0.8604137912661244,0.8643810258463671,0.9108710013921805,0.920880806143752,0.9126994399501307,0.6098823777540179,0.6059708834308788,0.6117515398400087,0.6157055375113192,0.995652213866705,1.016493363434251,1.0207080594044402,1.0153275497722094,2.5260576243304294,2.5139067898414016,2.478265238039089,2.4764916520264193,132.23076923076923,132.69230769230768,133.57692307692307,134.84615384615384
FR000184,-0.0381451137376736,-0.05974892486011618,0.4915407472392448,0.5296858609769184,0.551289672099361,,,,0.7607683459067961,0.7909874657830893,0.7981155603361925,0.7655299169961293,1.3461345641856322,1.1810864076550434,1.1775370420941853,1.1810233767592007,1.439657424216201,2.2455184228276592,2.1358021621800054,2.324263545675267,152.48,153.92,153.6,147.8
LU000013,-0.0026950311148126183,0.017832583063964957,0.6119749393622298,0.6146699704770424,0.5941423562982648,,,,0.5622001104808224,0.5087774916029724,0.500025463583631,0.483876565312428,0.6081548655661143,0.7722940768151006,0.7845437268582401,0.7730140283712625,2.274642367461529,2.7931874658801226,2.8408835837578685,3.046644821386893,133.53846153846155,127.6923076923077,130.15384615384616,129.07692307692307
LU000017,0.001605632111378985,0.02081824276234001,0.872181364234991,0.8705757321236121,0.851363121472651,,,,0.5724331774596073,0.5660417256884146,0.600256693825849,0.6602032743512036,0.9531568963534384,0.9434520841946674,0.941960515897899,0.9423856477970661,2.4595552635714406,2.7107700650605215,2.521429182266993,2.2757756906015105,127.3076923076923,129.15384615384616,133.76923076923077,140.76923076923077
DERP2027,0.034002733000092045,-7.226616889122184e-05,0.7854922634583614,0.7514895304582694,0.7855645296272527,0.6473552211300759,0.7185937212790516,0.6494324434453566,0.5778379022572762,0.5811125774019995,0.6562395787066592,0.5729722348549977,1.1505958165844266,0.9657566649122856,0.971108455856762,0.9624722765555258,1.82350299231343,2.5827777477612766,2.3104416463600135,2.5089334804085692,132.15384615384616,135.0,141.84615384615384,138.15384615384616
DERP2016,0.09300205776188608,-0.003744301298569175,0.7961215853598108,0.7031195275979247,0.79986588665838,0.7552216475872546,0.47372651520498166,0.7629344332586023,0.6578150607763272,0.6023981015789347,0.5189651511251343,0.6082509987653003,0.8784074757929518,0.8235445236422648,0.8363489714114866,0.8258220029641931,1.9650568511190973,2.3947227680560688,2.777680742427248,2.423209150774855,139.65384615384616,134.3846153846154,129.1153846153846,136.92307692307693
FR003239,-0.011614338190565343,0.011407779645903116,0.6937068886352904,0.7053212268258557,0.6822991089893873,,,,0.5417570920419356,0.6081177272497923,0.561884998583126,0.5955317249370395,1.043221884394032,1.1586168804907084,1.1607695764325254,1.1584544902653606,1.7337156049387468,2.398380571064082,2.610394641166185,2.509840680029023,127.3913043478261,134.56521739130434,132.2608695652174,134.65217391304347
DERP2005,0.01591368443191077,-0.011238569389332653,0.8076679044119731,0.7917542199800623,0.8189064738013058,0.832998207579739,0.8011424482270473,0.7730014811211223,0.4455873237740707,0.5340727641509249,0.571915840355494,0.5048784551904091,1.1496889079696715,1.0701895882759764,1.0754214297153653,1.0620975574350897,3.8171290952662003,3.1085582813209904,2.902965489893014,2.8473127168626093,120.1923076923077,129.84615384615384,132.30769230769232,133.34615384615384
DERP2030,-0.0009159152817329597,0.06513930106936028,0.8495257947390248,0.8504417100207577,0.7843864936696645,0.8757458679492995,0.8807254685429964,0.7059336207863001,0.6020962318726577,0.5713299522971049,0.5773370252883503,0.7477464213926155,0.8358863192427771,0.845904433268252,0.8546454189659538,0.8434060062461979,2.942742738094131,2.8561105019539417,3.0011255368239835,2.089321878975422,139.34615384615384,134.1153846153846,133.07692307692307,152.19230769230768
FR003266,0.01346145981134017,0.017650784292608135,0.5402682222140583,0.5268067624027182,0.5226174379214502,,,,0.5675230756275457,0.4988070239944387,0.511412742842397,0.49866828839791694,0.5183051714226222,0.6950723206891226,0.7064644431720039,0.6987041506930297,4.039028561215098,2.9331125328308407,2.81800517087137,3.007949689825838,130.0,126.5,129.45454545454547,128.63636363636363
FR003268,-0.021690825036299155,0.004351697568097834,0.6916985997432981,0.7133894247795972,0.6873469021752002,,,,0.5557469480443066,0.5146354706518622,0.575527158447838,0.5110010008344159,0.6968147202648104,0.7105702476703433,0.7196428097471157,0.713265628487721,2.8354812658522928,2.9083400202717993,2.51533396142235,2.9406127784296117,126.70833333333333,127.66666666666667,132.45833333333334,129.375
