basin,nse,nse_rg,nse_nogeo,nse_bfi_nogeo,bfi_obs,bfi_nogeo,qmean_obs,qmean_nogeo,slope_obs,slope_nogeo,hfd_obs,hfd_nogeo
FR003237,0.0,0.0,0.8672396853239435,0.7370258025611874,0.5829247348478124,0.6430512468883743,2.55037940991119,2.491308562556678,2.4552189441969348,1.7470201257571019,132.26923076923077,135.6153846153846
FR000156,0.0,0.0,0.8520655088766048,0.789408735698618,0.6229550449387533,0.6698755047508816,1.0975178585251943,1.215678050599112,2.3250156142838394,1.87029007605996,136.65384615384616,136.46153846153845
FR003272,0.0,0.0,0.8515745647195823,,0.6007617392768614,0.6640383297493311,1.1616918354872199,1.3023821419460009,2.4761871992808,1.8851281030842464,135.57142857142858,139.38095238095238
LU000009,0.0,0.0,0.7334279433883497,,0.5411479825234004,0.6649942271629156,0.7634042777287259,0.7875509674442459,2.3584108542198785,1.8872704296397336,132.69230769230768,136.84615384615384
LU000011,0.0,0.0,0.823392919135282,,0.5621020627204069,0.6728646036181462,0.9868912416707145,1.0190904463723975,3.245834379508611,1.8076259324364568,131.0,138.76923076923077
FR003234,0.0,0.0,0.6781035006285203,,0.5991215229375468,0.6427369863043917,3.112317145012346,2.2114704625363637,2.303898434538102,1.7643957596098403,132.0909090909091,135.86363636363637
BEWA0107,0.0,0.0,0.6748520892781424,,0.5650632320024066,0.6543947069340229,1.2694405494768017,1.5556203242666298,3.4182994258423167,1.7704976546964575,133.58823529411765,142.05882352941177
FR003288,0.0,0.0,0.6449336847305207,,0.5575694415881807,0.6724687277563841,0.6382568553269785,0.6916794766729147,1.8773455778449442,1.8629358462279724,131.73076923076923,137.34615384615384
FR000174,0.0,0.0,0.49008656791131144,,0.4378605500946607,0.666381371181672,0.5779162965551374,0.7533098306225383,3.730070984507281,2.0662452613105518,117.92307692307692,140.0
DERP2021,0.0,0.0,0.7746934406871724,0.5261249333015684,0.4703845996587508,0.6707587508749753,1.398167993796431,1.2896946208611226,3.3370353680427347,1.77653485315907,124.5,140.03846153846155
FR003293,0.0,0.0,0.6509554041100736,,0.5914750289546523,0.6713534524462584,0.9910164766444115,1.1920005349365168,2.304240628997312,1.8768380453457043,142.05555555555554,137.44444444444446
FR003236,0.0,0.0,0.8264768784276659,,0.6130444923461763,0.6428585249160177,2.2985384896105137,2.239993178010526,2.3750379274547355,1.7557974316351173,133.16,136.28
BEWA0119,0.0,0.0,0.7655003835549296,,0.5081014079140684,0.6637700104557712,1.2998432104374793,1.4503064639057786,3.3364343815241786,1.7286111059934262,123.26666666666667,137.53333333333333
DERP2013,0.0,0.0,-0.36649791664162623,-0.38963841923585596,0.8138979678410975,0.6691995368475205,0.7628039021474782,0.86517030682998,0.9585595889496735,1.9289562505123619,161.34615384615384,139.1153846153846
DERP2024,0.0,0.0,0.8841775298986219,0.7842422899361754,0.6056517156816441,0.6752292459412311,1.018054379588398,1.0733285091250577,1.9893237119119833,1.7919917837857215,132.84615384615384,139.42307692307693
FR003283,0.0,0.0,0.7760940779390488,,0.5325784969434902,0.6646080974123764,0.7764789553330105,0.8677281396140009,3.278380260004694,1.8947015926264368,128.36,136.6
