basin_id,lit_fra_Alluvium,lit_fra_Basement,lit_fra_Chalk,lit_fra_Clastic deposits,lit_fra_Clastics with flint,lit_fra_Clayey and fractured limestones,"lit_fra_Dolomites, sandstones, and marls","lit_fra_Faluns, sands, and clayey-sandy",lit_fra_Fissured clayey limestones,lit_fra_Horsts,lit_fra_Infra-gypsiferous marls,lit_fra_Limestones,lit_fra_Limestones and dolomites,"lit_fra_Limestones, marls and sands","lit_fra_Limestones, sandstones, clayey limestones and clays",lit_fra_Marls,lit_fra_Massif basement,lit_fra_Outcropping limestones,lit_fra_Post-secondary weathered materials,lit_fra_Sands,lit_fra_Sands and clays,lit_fra_Sandstones and dolomites,lit_dom,tot_area
FR001237,0.0,0.0,0.0,0.0,0.0,0.0,3.673,0.0,0.0,0.0,0.0,9.627,0.0,0.0,9.435,2.2,75.065,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001238,0.0,0.028,0.0,0.406,0.0,1.874,0.708,0.0,0.0,0.0,0.48,5.794,0.0,0.0,1.358,1.754,73.316,0.0,0.0,0.0,14.28,0.0,Massif basement,100.0
FR001239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,99.983,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR001247,0.0,0.0,0.0,0.0,2.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882,44.194,0.0,8.573,40.668,0.0,0.0,0.0,0.0,0.0,"Limestones, marls and sands",100.0
FR001248,0.0,0.0,0.0,0.0,0.817,4.58,1.463,0.0,0.0,0.0,0.0,9.464,1.571,9.37,0.664,4.311,46.36,0.0,0.0,0.0,21.398,0.0,Massif basement,100.0
FR001249,0.0,0.0,0.0,0.0,0.817,4.505,1.465,0.0,0.0,0.0,0.0,9.472,1.573,9.377,0.665,4.315,46.397,0.0,0.0,0.0,21.415,0.0,Massif basement,100.0
FR001250,0.0,0.0,0.081,0.0,1.746,3.394,0.639,0.0,0.0,0.0,0.0,5.177,1.047,9.166,0.29,3.117,65.936,0.0,0.0,0.059,9.348,0.0,Massif basement,100.0
FR001251,0.0,0.0,0.587,0.0,1.723,3.468,0.631,0.0,0.0,0.0,0.0,5.396,1.033,9.048,0.286,3.442,65.087,0.0,0.0,0.07,9.228,0.0,Massif basement,100.0
FR001252,0.0,0.0,17.607,0.0,13.891,0.0,0.0,0.0,0.0,0.0,0.0,1.505,0.0,0.0,0.0,0.083,0.0,7.901,0.0,2.389,56.623,0.0,Sands and clays,100.0
FR001253,0.0,0.0,17.607,0.0,13.891,0.0,0.0,0.0,0.0,0.0,0.0,1.505,0.0,0.0,0.0,0.083,0.0,7.901,0.0,2.389,56.623,0.0,Sands and clays,100.0
FR001254,0.0,0.0,19.396,0.0,22.923,0.0,0.0,0.0,0.0,0.0,0.0,1.267,0.0,0.0,0.0,0.07,0.0,6.653,0.0,2.011,47.679,0.0,Sands and clays,100.0
FR001255,0.0,0.0,28.748,0.0,71.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001256,0.0,0.0,34.061,0.0,64.662,0.0,0.0,1.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR001257,0.0,0.0,37.085,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,14.906,0.0,0.0,0.0,11.586,0.0,0.0,0.0,32.993,0.0,0.0,Chalk,100.0
FR003936,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.744,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003937,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.832,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003940,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.904,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003941,0.0,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.458,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003942,0.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.772,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003943,0.0,0.116,0.0,0.0,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,99.478,0.0,0.006,0.0,0.0,0.001,Massif basement,100.0
FR003944,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.924,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003945,0.0,0.084,0.0,0.0,3.821,0.0,0.0,0.0,0.0,0.0,0.0,2.463,0.505,4.788,0.0,3.034,85.3,0.0,0.004,0.0,0.0,0.001,Massif basement,100.0
FR003946,0.0,0.0,0.0,0.0,55.652,21.426,0.0,0.0,0.514,0.003,0.0,4.487,2.344,10.348,0.0,2.018,2.168,0.0,1.033,0.0,0.0,0.007,Clastics with flint,100.0
FR003947,0.0,0.0,0.0,0.0,45.57,0.0,0.0,0.0,0.0,0.0,0.0,12.618,3.062,33.008,0.0,1.458,4.285,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR003948,0.0,0.0,0.0,0.0,48.402,0.0,0.0,0.0,0.0,0.047,0.0,14.698,2.605,29.403,0.0,1.522,3.324,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR003949,0.0,0.0,0.0,0.0,55.799,11.259,0.0,0.0,0.27,0.013,0.0,5.345,3.342,12.768,0.0,5.327,5.33,0.0,0.543,0.0,0.0,0.004,Clastics with flint,100.0
FR003950,0.0,0.0,0.0,0.0,72.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,17.929,0.0,4.19,5.819,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR003951,0.0,0.0,0.0,0.0,74.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,15.608,0.0,5.703,4.062,0.0,0.0,0.0,0.0,0.0,Clastics with flint,100.0
FR003952,0.378,0.0,0.0,0.0,54.46,9.721,0.0,0.0,0.17,0.02,0.0,3.675,2.118,14.647,0.0,10.465,3.968,0.0,0.341,0.035,0.0,0.002,Clastics with flint,100.0
FR003953,0.508,0.051,1.145,0.0,18.469,4.831,0.0,0.0,0.049,0.006,0.0,5.285,0.917,7.311,0.0,6.445,52.81,0.0,0.101,2.069,0.0,0.001,Massif basement,100.0
FR003954,0.601,0.051,1.357,0.0,18.455,4.814,0.0,0.0,0.049,0.006,0.0,5.254,0.912,7.268,0.0,6.519,52.494,0.0,0.1,2.121,0.0,0.001,Massif basement,100.0
FR003955,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.892,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003956,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.863,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003957,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.897,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003958,0.0,0.0,0.0,2.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.357,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003959,0.0,0.0,0.0,2.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.357,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003961,0.0,0.0,0.0,0.0,0.0,0.0,5.377,0.0,0.0,0.0,4.009,9.943,0.0,0.0,7.648,12.387,24.718,0.0,0.0,0.0,35.917,0.0,Sands and clays,100.0
FR003962,0.0,0.031,0.0,0.454,0.0,0.0,0.791,0.0,0.0,0.0,0.537,3.98,0.0,0.0,1.518,1.96,81.926,0.0,0.0,0.0,8.803,0.0,Massif basement,100.0
FR003963,0.0,0.031,0.0,0.444,0.0,0.0,0.774,0.0,0.0,0.0,0.525,4.594,0.0,0.0,1.485,1.917,80.138,0.0,0.0,0.0,10.092,0.0,Massif basement,100.0
FR003964,0.0,0.029,0.0,0.414,0.0,0.111,0.722,0.0,0.0,0.0,0.49,5.795,0.0,0.0,1.385,1.788,74.759,0.0,0.0,0.0,14.507,0.0,Massif basement,100.0
FR003965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003970,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,2.909,0.0,1.638,94.251,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003971,0.0,0.0,0.0,0.0,1.855,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.698,6.514,0.0,1.538,88.466,0.0,0.0,0.0,0.0,0.0,Massif basement,100.0
FR003972,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,2.349,0.0,0.0,0.53,4.791,83.063,0.0,0.0,0.0,4.957,0.0,Massif basement,100.0
FR003973,0.0,0.0,0.0,0.0,0.0,0.0,3.328,0.0,0.0,0.0,0.0,11.532,0.0,0.0,1.526,6.266,39.678,0.0,0.0,0.0,37.671,0.0,Massif basement,100.0
FR003974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.961,0.0,0.0,0.0,0.039,0.0,Massif basement,100.0
FR003975,0.0,0.0,0.0,0.0,0.171,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.085,1.803,0.0,2.678,85.253,0.0,0.0,0.0,5.961,0.0,Massif basement,100.0
FR003976,0.0,0.0,0.0,0.0,0.841,1.776,1.507,0.0,0.0,0.0,0.0,9.735,1.618,9.646,0.684,4.438,47.727,0.0,0.0,0.0,22.029,0.0,Massif basement,100.0
